,key,type,label
95,clueweb12-0000tw-00-00007,CARDINAL,2
96,clueweb12-0000tw-00-00007,CARDINAL,3
97,clueweb12-0000tw-00-00007,ORG,Tebow
98,clueweb12-0000tw-00-00007,PERSON,Foundations
99,clueweb12-0000tw-00-00007,WORK_OF_ART,Lost in the woods Powered by Contextual Related Posts 6 Comments Noel
100,clueweb12-0000tw-00-00007,DATE,"April 22, 2011"
101,clueweb12-0000tw-00-00007,TIME,4:17 pm
102,clueweb12-0000tw-00-00007,PERSON,Collette
103,clueweb12-0000tw-00-00007,PERSON,clay
104,clueweb12-0000tw-00-00007,DATE,"April 22, 2011"
105,clueweb12-0000tw-00-00007,TIME,4:22 pm
106,clueweb12-0000tw-00-00007,PERSON,Michelle
107,clueweb12-0000tw-00-00007,DATE,"April 22, 2011"
108,clueweb12-0000tw-00-00007,TIME,5:19 pm
109,clueweb12-0000tw-00-00007,PERSON,clay
110,clueweb12-0000tw-00-00007,DATE,"April 22, 2011"
111,clueweb12-0000tw-00-00007,TIME,5:37 pm
112,clueweb12-0000tw-00-00007,PERSON,Michelle
113,clueweb12-0000tw-00-00007,PERSON,Frank
114,clueweb12-0000tw-00-00007,DATE,"April 22, 2011"
115,clueweb12-0000tw-00-00007,TIME,9:27 pm
116,clueweb12-0000tw-00-00007,DATE,Friday
117,clueweb12-0000tw-00-00007,PERSON,clay
118,clueweb12-0000tw-00-00007,DATE,"April 25, 2011"
119,clueweb12-0000tw-00-00007,TIME,10:22 am
120,clueweb12-0000tw-00-00007,PERSON,Thanks Frank
121,clueweb12-0000tw-00-00007,WORK_OF_ART,""" b blockquote cite"
122,clueweb12-0000tw-00-00007,WORK_OF_ART,em i q
123,clueweb12-0000tw-00-00007,ORG,Join 7
124,clueweb12-0000tw-00-00007,CARDINAL,33
125,clueweb12-0000tw-00-00007,CARDINAL,33
126,clueweb12-0000tw-00-00007,CARDINAL,31
127,clueweb12-0000tw-00-00007,CARDINAL,20
128,clueweb12-0000tw-00-00007,CARDINAL,19
129,clueweb12-0000tw-00-00007,CARDINAL,18
130,clueweb12-0000tw-00-00007,CARDINAL,18
131,clueweb12-0000tw-00-00007,CARDINAL,17
132,clueweb12-0000tw-00-00007,CARDINAL,6
133,clueweb12-0000tw-00-00007,CARDINAL,15
134,clueweb12-0000tw-00-00007,CARDINAL,"21,977"
135,clueweb12-0000tw-00-00007,CARDINAL,"21,458"
136,clueweb12-0000tw-00-00007,CARDINAL,511
137,clueweb12-0000tw-00-00007,ORG,WordPress
138,clueweb12-0000tw-00-00008,DATE,"Feb 9, 2012"
139,clueweb12-0000tw-00-00008,ORDINAL,First
140,clueweb12-0000tw-00-00008,DATE,Years later
141,clueweb12-0000tw-00-00008,ORG,the Holy Spirit
142,clueweb12-0000tw-00-00008,QUANTITY,millions of gallons
143,clueweb12-0000tw-00-00008,QUANTITY,Those millions of gallons
144,clueweb12-0000tw-00-00008,QUANTITY,Millions of gallons
145,clueweb12-0000tw-00-00008,ORG,HTML
146,clueweb12-0000tw-00-00008,DATE,every day
147,clueweb12-0000tw-00-00008,CARDINAL,7
148,clueweb12-0000tw-00-00008,CARDINAL,33
149,clueweb12-0000tw-00-00008,CARDINAL,33
150,clueweb12-0000tw-00-00008,CARDINAL,31
151,clueweb12-0000tw-00-00008,CARDINAL,20
152,clueweb12-0000tw-00-00008,CARDINAL,19
153,clueweb12-0000tw-00-00008,CARDINAL,18
154,clueweb12-0000tw-00-00008,CARDINAL,18
155,clueweb12-0000tw-00-00008,CARDINAL,17
156,clueweb12-0000tw-00-00008,CARDINAL,6
157,clueweb12-0000tw-00-00008,CARDINAL,15
158,clueweb12-0000tw-00-00008,CARDINAL,"21,977"
159,clueweb12-0000tw-00-00008,CARDINAL,"21,458"
160,clueweb12-0000tw-00-00008,CARDINAL,511
161,clueweb12-0000tw-00-00008,ORG,WordPress
162,clueweb12-0000tw-00-00009,DATE,a week
163,clueweb12-0000tw-00-00009,DATE,"Feb 10, 2012"
164,clueweb12-0000tw-00-00009,WORK_OF_ART,0 Comments Lessons
165,clueweb12-0000tw-00-00009,DATE,a week
166,clueweb12-0000tw-00-00009,CARDINAL,one
167,clueweb12-0000tw-00-00009,TIME,night
168,clueweb12-0000tw-00-00009,ORG,Walt Disney World
169,clueweb12-0000tw-00-00009,DATE,next week
170,clueweb12-0000tw-00-00009,PRODUCT,Disney Princess
171,clueweb12-0000tw-00-00009,DATE,today
172,clueweb12-0000tw-00-00009,DATE,this week
173,clueweb12-0000tw-00-00009,DATE,a week
174,clueweb12-0000tw-00-00009,DATE,a week
175,clueweb12-0000tw-00-00009,CARDINAL,one
176,clueweb12-0000tw-00-00009,ORDINAL,second
177,clueweb12-0000tw-00-00009,DATE,many days
178,clueweb12-0000tw-00-00009,ORG,Disney
179,clueweb12-0000tw-00-00009,ORG,Small World
180,clueweb12-0000tw-00-00009,ORG,WDW
181,clueweb12-0000tw-00-00009,DATE,a week
182,clueweb12-0000tw-00-00009,DATE,since 1996
183,clueweb12-0000tw-00-00009,CARDINAL,one
184,clueweb12-0000tw-00-00009,ORG,WDW
185,clueweb12-0000tw-00-00009,ORG,Computer Progeammer World
186,clueweb12-0000tw-00-00009,ORG,WDW
187,clueweb12-0000tw-00-00009,DATE,the next few weeks
188,clueweb12-0000tw-00-00009,DATE,next week
189,clueweb12-0000tw-00-00009,EVENT,the World series
190,clueweb12-0000tw-00-00009,DATE,Next year
191,clueweb12-0000tw-00-00009,PRODUCT,Flummoxed
192,clueweb12-0000tw-00-00009,PRODUCT,Powered by Contextual
193,clueweb12-0000tw-00-00009,ORG,HTML
194,clueweb12-0000tw-00-00009,DATE,every day
195,clueweb12-0000tw-00-00009,CARDINAL,7
196,clueweb12-0000tw-00-00009,CARDINAL,33
197,clueweb12-0000tw-00-00009,CARDINAL,33
198,clueweb12-0000tw-00-00009,CARDINAL,31
199,clueweb12-0000tw-00-00009,CARDINAL,20
200,clueweb12-0000tw-00-00009,CARDINAL,19
201,clueweb12-0000tw-00-00009,CARDINAL,18
202,clueweb12-0000tw-00-00009,CARDINAL,18
203,clueweb12-0000tw-00-00009,CARDINAL,17
204,clueweb12-0000tw-00-00009,CARDINAL,6
205,clueweb12-0000tw-00-00009,CARDINAL,15
206,clueweb12-0000tw-00-00009,CARDINAL,"21,977"
207,clueweb12-0000tw-00-00009,CARDINAL,"21,458"
208,clueweb12-0000tw-00-00009,CARDINAL,511
209,clueweb12-0000tw-00-00009,ORG,WordPress
210,clueweb12-0000tw-00-00012,FAC,Stick
211,clueweb12-0000tw-00-00012,ORG,Dcoratif Autocollant Amour Animaux Bain Crativit Cuisine Dehors Enfants Famille
212,clueweb12-0000tw-00-00012,PRODUCT,Spiritualit Enseigne en bois Car
213,clueweb12-0000tw-00-00012,ORG,Create Account Shopping Cart Shopping Cart
214,clueweb12-0000tw-00-00012,PERSON,Login Email
215,clueweb12-0000tw-00-00012,MONEY,3.00
216,clueweb12-0000tw-00-00012,PERSON,Francine
217,clueweb12-0000tw-00-00012,CARDINAL,14/50
218,clueweb12-0000tw-00-00012,ORG,Doggie Paws
219,clueweb12-0000tw-00-00012,MONEY,$3.00 approx
220,clueweb12-0000tw-00-00012,MONEY,1 2 $3.00 3 $6.00 4 $9.00 5 $12.00
221,clueweb12-0000tw-00-00012,PERSON,Commentaire
222,clueweb12-0000tw-00-00012,CARDINAL,14/50
223,clueweb12-0000tw-00-00012,GPE,US
224,clueweb12-0000tw-00-00012,MONEY,25.00
225,clueweb12-0000tw-00-00012,DATE,2012
226,clueweb12-0000tw-00-00012,ORG,Zen Cart
227,clueweb12-0000tw-00-00013,ORG,HIV Aids Health and Insurance Health and Insurance cheapcosthealthinsurance.com Home Sports
228,clueweb12-0000tw-00-00013,PERSON,Imran Khan Imran Khan
229,clueweb12-0000tw-00-00013,ORG,Contact Us Health care
230,clueweb12-0000tw-00-00013,ORG,Health Care Center Health
231,clueweb12-0000tw-00-00013,ORG,Health Care Jobs Health
232,clueweb12-0000tw-00-00013,ORG,Health Care Services Health
233,clueweb12-0000tw-00-00013,ORG,Health Care Technology Home
234,clueweb12-0000tw-00-00013,ORG,Palliative care Private Health Care United
235,clueweb12-0000tw-00-00013,ORG,United Healthcare What is Health Care What
236,clueweb12-0000tw-00-00013,ORG,Dental insurance Health Care Health Insurance Health care insurance Health Insurance Benefits Health
237,clueweb12-0000tw-00-00013,ORG,Health Insurance Coverage Health Insurance Medical Health Insurance Medical Insurance Health Insurance Plan Medical Health Insurance Medical insurance Medical Insurance Health Insurance What
238,clueweb12-0000tw-00-00013,DATE,daily
239,clueweb12-0000tw-00-00013,CARDINAL,four
240,clueweb12-0000tw-00-00013,CARDINAL,four
241,clueweb12-0000tw-00-00013,CARDINAL,four
242,clueweb12-0000tw-00-00013,CARDINAL,one
243,clueweb12-0000tw-00-00013,CARDINAL,one
244,clueweb12-0000tw-00-00013,ORDINAL,first
245,clueweb12-0000tw-00-00013,DATE,"January 25, 2012"
246,clueweb12-0000tw-00-00013,TIME,5:33 pm
247,clueweb12-0000tw-00-00013,ORG,Bladder Cancer
248,clueweb12-0000tw-00-00013,ORG,Blood Cancer
249,clueweb12-0000tw-00-00013,ORG,Breast Cancer
250,clueweb12-0000tw-00-00013,ORG,Cancer Information
251,clueweb12-0000tw-00-00013,PRODUCT,Colon Cancer
252,clueweb12-0000tw-00-00013,ORG,Dental
253,clueweb12-0000tw-00-00013,ORG,Health Care Health Insurance
254,clueweb12-0000tw-00-00013,ORG,Health Care Services
255,clueweb12-0000tw-00-00013,ORG,Health Insurance Benefits
256,clueweb12-0000tw-00-00013,ORG,"Health Insurance Coverage , Health Insurance Medical"
257,clueweb12-0000tw-00-00013,ORG,Health Insurance Medical Insurance
258,clueweb12-0000tw-00-00013,ORG,Health of women
259,clueweb12-0000tw-00-00013,PERSON,Hiv Aids
260,clueweb12-0000tw-00-00013,ORG,Home
261,clueweb12-0000tw-00-00013,PRODUCT,Liver Cancer
262,clueweb12-0000tw-00-00013,ORG,Medical Health Insurance
263,clueweb12-0000tw-00-00013,ORG,"Women For Women International , Women Health , Women Health Center , Women Health Clinic"
264,clueweb12-0000tw-00-00013,DATE,February 2012
265,clueweb12-0000tw-00-00013,DATE,January 2012
266,clueweb12-0000tw-00-00013,ORG,Colon Cancer Colorectal Cancer Dental
267,clueweb12-0000tw-00-00013,ORG,Esophageal Cancer Health care
268,clueweb12-0000tw-00-00013,ORG,Health Care Center Health Care Health Insurance Health
269,clueweb12-0000tw-00-00013,ORG,Health Care Jobs Health
270,clueweb12-0000tw-00-00013,ORG,Health Care Services Health
271,clueweb12-0000tw-00-00013,ORG,Health Care Technology Health
272,clueweb12-0000tw-00-00013,ORG,women Health insurance Health Insurance Benefits Health
273,clueweb12-0000tw-00-00013,ORG,Health Insurance Coverage Health Insurance Medical Health Insurance Medical Insurance Health Insurance Plan Health of women Health women HIV Aids HIV AND AIDS HIV or
274,clueweb12-0000tw-00-00013,ORG,Medical Insurance Health Insurance Metastatic Cancer Mouth
275,clueweb12-0000tw-00-00013,ORG,United Healthcare Uterine Cancer What HIV
276,clueweb12-0000tw-00-00013,PERSON,Imran Khan Imran Khan
277,clueweb12-0000tw-00-00013,ORG,Contact Us WordPress
278,clueweb12-0000tw-00-00014,ORG,Health and Insurance Health and Insurance cheapcosthealthinsurance.com
279,clueweb12-0000tw-00-00014,PERSON,Imran Khan Imran Khan
280,clueweb12-0000tw-00-00014,ORG,Contact Us Health care
281,clueweb12-0000tw-00-00014,ORG,Health Care Center Health
282,clueweb12-0000tw-00-00014,ORG,Health Care Jobs Health
283,clueweb12-0000tw-00-00014,ORG,Health Care Services Health
284,clueweb12-0000tw-00-00014,ORG,Health Care Technology Home
285,clueweb12-0000tw-00-00014,ORG,Palliative care Private Health Care United
286,clueweb12-0000tw-00-00014,ORG,United Healthcare What is Health Care What
287,clueweb12-0000tw-00-00014,ORG,Dental insurance Health Care Health Insurance Health care insurance Health Insurance Benefits Health
288,clueweb12-0000tw-00-00014,ORG,Health Insurance Coverage Health Insurance Medical Health Insurance Medical Insurance Health Insurance Plan Medical Health Insurance Medical insurance Medical Insurance Health Insurance What
289,clueweb12-0000tw-00-00014,DATE,decades
290,clueweb12-0000tw-00-00014,PERSON,pneumocystis cariniipneumonia
291,clueweb12-0000tw-00-00014,TIME,night
292,clueweb12-0000tw-00-00014,ORDINAL,first
293,clueweb12-0000tw-00-00014,DATE,"January 26, 2012"
294,clueweb12-0000tw-00-00014,TIME,4:19 pm
295,clueweb12-0000tw-00-00014,ORG,Bladder Cancer
296,clueweb12-0000tw-00-00014,ORG,Blood Cancer
297,clueweb12-0000tw-00-00014,ORG,Breast Cancer
298,clueweb12-0000tw-00-00014,ORG,Cancer Information
299,clueweb12-0000tw-00-00014,PRODUCT,Colon Cancer
300,clueweb12-0000tw-00-00014,ORG,Dental
301,clueweb12-0000tw-00-00014,ORG,Health Care Health Insurance
302,clueweb12-0000tw-00-00014,ORG,Health Care Services
303,clueweb12-0000tw-00-00014,ORG,Health Insurance Benefits
304,clueweb12-0000tw-00-00014,ORG,"Health Insurance Coverage , Health Insurance Medical"
305,clueweb12-0000tw-00-00014,ORG,Health Insurance Medical Insurance
306,clueweb12-0000tw-00-00014,ORG,Health of women
307,clueweb12-0000tw-00-00014,PERSON,Hiv Aids
308,clueweb12-0000tw-00-00014,PRODUCT,Liver Cancer
309,clueweb12-0000tw-00-00014,ORG,Medical Health Insurance
310,clueweb12-0000tw-00-00014,ORG,"Women For Women International , Women Health , Women Health Center , Women Health Clinic"
311,clueweb12-0000tw-00-00014,DATE,February 2012
312,clueweb12-0000tw-00-00014,DATE,January 2012
313,clueweb12-0000tw-00-00014,ORG,Colon Cancer Colorectal Cancer Dental
314,clueweb12-0000tw-00-00014,ORG,Esophageal Cancer Health care
315,clueweb12-0000tw-00-00014,ORG,Health Care Center Health Care Health Insurance Health
316,clueweb12-0000tw-00-00014,ORG,Health Care Jobs Health
317,clueweb12-0000tw-00-00014,ORG,Health Care Services Health
318,clueweb12-0000tw-00-00014,ORG,Health Care Technology Health
319,clueweb12-0000tw-00-00014,ORG,women Health insurance Health Insurance Benefits Health
320,clueweb12-0000tw-00-00014,ORG,Health Insurance Coverage Health Insurance Medical Health Insurance Medical Insurance Health Insurance Plan Health of women Health women HIV Aids HIV AND AIDS HIV or
321,clueweb12-0000tw-00-00014,ORG,Medical Insurance Health Insurance Metastatic Cancer Mouth
322,clueweb12-0000tw-00-00014,ORG,United Healthcare Uterine Cancer What HIV
323,clueweb12-0000tw-00-00014,PERSON,Imran Khan Imran Khan
324,clueweb12-0000tw-00-00014,ORG,Contact Us WordPress
325,clueweb12-0000tw-00-00015,WORK_OF_ART,Home Sports
326,clueweb12-0000tw-00-00015,PERSON,Imran Khan Imran Khan
327,clueweb12-0000tw-00-00015,ORG,Contact Us Health care
328,clueweb12-0000tw-00-00015,ORG,Health Care Center Health
329,clueweb12-0000tw-00-00015,ORG,Health Care Jobs Health
330,clueweb12-0000tw-00-00015,ORG,Health Care Services Health
331,clueweb12-0000tw-00-00015,ORG,Health Care Technology Home
332,clueweb12-0000tw-00-00015,ORG,Palliative care Private Health Care United
333,clueweb12-0000tw-00-00015,ORG,United Healthcare What is Health Care What
334,clueweb12-0000tw-00-00015,ORG,Dental insurance Health Care Health Insurance Health care insurance Health Insurance Benefits Health
335,clueweb12-0000tw-00-00015,ORG,Health Insurance Coverage Health Insurance Medical Health Insurance Medical Insurance Health Insurance Plan Medical Health Insurance Medical insurance Medical Insurance Health Insurance What
336,clueweb12-0000tw-00-00015,ORG,Tinnitus
337,clueweb12-0000tw-00-00015,ORG,Tinnitus
338,clueweb12-0000tw-00-00015,CARDINAL,one
339,clueweb12-0000tw-00-00015,ORDINAL,First
340,clueweb12-0000tw-00-00015,ORDINAL,first
341,clueweb12-0000tw-00-00015,ORDINAL,first
342,clueweb12-0000tw-00-00015,DATE,"January 26, 2012"
343,clueweb12-0000tw-00-00015,TIME,5:13 pm
344,clueweb12-0000tw-00-00015,ORG,Bladder Cancer
345,clueweb12-0000tw-00-00015,ORG,Blood Cancer
346,clueweb12-0000tw-00-00015,ORG,Breast Cancer
347,clueweb12-0000tw-00-00015,ORG,Cancer Information
348,clueweb12-0000tw-00-00015,PRODUCT,Colon Cancer
349,clueweb12-0000tw-00-00015,ORG,Dental
350,clueweb12-0000tw-00-00015,ORG,Health Care Health Insurance
351,clueweb12-0000tw-00-00015,ORG,Health Care Services
352,clueweb12-0000tw-00-00015,ORG,Health Insurance Benefits
353,clueweb12-0000tw-00-00015,ORG,"Health Insurance Coverage , Health Insurance Medical"
354,clueweb12-0000tw-00-00015,ORG,Health Insurance Medical Insurance
355,clueweb12-0000tw-00-00015,ORG,Health of women
356,clueweb12-0000tw-00-00015,PERSON,Hiv Aids
357,clueweb12-0000tw-00-00015,PRODUCT,Liver Cancer
358,clueweb12-0000tw-00-00015,ORG,Medical Health Insurance
359,clueweb12-0000tw-00-00015,ORG,"Women For Women International , Women Health , Women Health Center , Women Health Clinic"
360,clueweb12-0000tw-00-00015,DATE,February 2012
361,clueweb12-0000tw-00-00015,DATE,January 2012
362,clueweb12-0000tw-00-00015,ORG,Colon Cancer Colorectal Cancer Dental
363,clueweb12-0000tw-00-00015,ORG,Esophageal Cancer Health care
364,clueweb12-0000tw-00-00015,ORG,Health Care Center Health Care Health Insurance Health
365,clueweb12-0000tw-00-00015,ORG,Health Care Jobs Health
366,clueweb12-0000tw-00-00015,ORG,Health Care Services Health
367,clueweb12-0000tw-00-00015,ORG,Health Care Technology Health
368,clueweb12-0000tw-00-00015,ORG,women Health insurance Health Insurance Benefits Health
369,clueweb12-0000tw-00-00015,ORG,Health Insurance Coverage Health Insurance Medical Health Insurance Medical Insurance Health Insurance Plan Health of women Health women HIV Aids HIV AND AIDS HIV or
370,clueweb12-0000tw-00-00015,ORG,Medical Insurance Health Insurance Metastatic Cancer Mouth
371,clueweb12-0000tw-00-00015,ORG,United Healthcare Uterine Cancer What HIV
372,clueweb12-0000tw-00-00015,PERSON,Imran Khan Imran Khan
373,clueweb12-0000tw-00-00015,ORG,Contact Us WordPress
374,clueweb12-0000tw-00-00016,ORG,Health and Insurance Health and Insurance cheapcosthealthinsurance.com
375,clueweb12-0000tw-00-00016,PERSON,Imran Khan Imran Khan
376,clueweb12-0000tw-00-00016,ORG,Contact Us Health care
377,clueweb12-0000tw-00-00016,ORG,Health Care Center Health
378,clueweb12-0000tw-00-00016,ORG,Health Care Jobs Health
379,clueweb12-0000tw-00-00016,ORG,Health Care Services Health
380,clueweb12-0000tw-00-00016,ORG,Health Care Technology Home
381,clueweb12-0000tw-00-00016,ORG,Palliative care Private Health Care United
382,clueweb12-0000tw-00-00016,ORG,United Healthcare What is Health Care What
383,clueweb12-0000tw-00-00016,ORG,Dental insurance Health Care Health Insurance Health care insurance Health Insurance Benefits Health
384,clueweb12-0000tw-00-00016,ORG,Health Insurance Coverage Health Insurance Medical Health Insurance Medical Insurance Health Insurance Plan Medical Health Insurance Medical insurance Medical Insurance Health Insurance What
385,clueweb12-0000tw-00-00016,CARDINAL,thousands
386,clueweb12-0000tw-00-00016,CARDINAL,1
387,clueweb12-0000tw-00-00016,ORG,manifold associates
388,clueweb12-0000tw-00-00016,CARDINAL,2
389,clueweb12-0000tw-00-00016,CARDINAL,3
390,clueweb12-0000tw-00-00016,CARDINAL,one
391,clueweb12-0000tw-00-00016,CARDINAL,at least 25
392,clueweb12-0000tw-00-00016,ORDINAL,first
393,clueweb12-0000tw-00-00016,DATE,"January 27, 2012"
394,clueweb12-0000tw-00-00016,TIME,5:35 pm
395,clueweb12-0000tw-00-00016,ORG,Bladder Cancer
396,clueweb12-0000tw-00-00016,ORG,Blood Cancer
397,clueweb12-0000tw-00-00016,ORG,Breast Cancer
398,clueweb12-0000tw-00-00016,ORG,Cancer Information
399,clueweb12-0000tw-00-00016,PRODUCT,Colon Cancer
400,clueweb12-0000tw-00-00016,ORG,Dental
401,clueweb12-0000tw-00-00016,ORG,Health Care Health Insurance
402,clueweb12-0000tw-00-00016,ORG,Health Care Services
403,clueweb12-0000tw-00-00016,ORG,Health Insurance Benefits
404,clueweb12-0000tw-00-00016,ORG,"Health Insurance Coverage , Health Insurance Medical"
405,clueweb12-0000tw-00-00016,ORG,Health Insurance Medical Insurance
406,clueweb12-0000tw-00-00016,ORG,Health of women
407,clueweb12-0000tw-00-00016,PERSON,Hiv Aids
408,clueweb12-0000tw-00-00016,PRODUCT,Liver Cancer
409,clueweb12-0000tw-00-00016,ORG,Medical Health Insurance
410,clueweb12-0000tw-00-00016,ORG,"Women For Women International , Women Health , Women Health Center , Women Health Clinic"
411,clueweb12-0000tw-00-00016,DATE,February 2012
412,clueweb12-0000tw-00-00016,DATE,January 2012
413,clueweb12-0000tw-00-00016,ORG,Colon Cancer Colorectal Cancer Dental
414,clueweb12-0000tw-00-00016,ORG,Esophageal Cancer Health care
415,clueweb12-0000tw-00-00016,ORG,Health Care Center Health Care Health Insurance Health
416,clueweb12-0000tw-00-00016,ORG,Health Care Jobs Health
417,clueweb12-0000tw-00-00016,ORG,Health Care Services Health
418,clueweb12-0000tw-00-00016,ORG,Health Care Technology Health
419,clueweb12-0000tw-00-00016,ORG,women Health insurance Health Insurance Benefits Health
420,clueweb12-0000tw-00-00016,ORG,Health Insurance Coverage Health Insurance Medical Health Insurance Medical Insurance Health Insurance Plan Health of women Health women HIV Aids HIV AND AIDS HIV or
421,clueweb12-0000tw-00-00016,ORG,Medical Insurance Health Insurance Metastatic Cancer Mouth
422,clueweb12-0000tw-00-00016,ORG,United Healthcare Uterine Cancer What HIV
423,clueweb12-0000tw-00-00016,PERSON,Imran Khan Imran Khan
424,clueweb12-0000tw-00-00016,ORG,Contact Us WordPress
425,clueweb12-0000tw-00-00017,ORG,Health and Insurance Health and Insurance cheapcosthealthinsurance.com
426,clueweb12-0000tw-00-00017,PERSON,Imran Khan Imran Khan
427,clueweb12-0000tw-00-00017,ORG,Contact Us Health care
428,clueweb12-0000tw-00-00017,ORG,Health Care Center Health
429,clueweb12-0000tw-00-00017,ORG,Health Care Jobs Health
430,clueweb12-0000tw-00-00017,ORG,Health Care Services Health
431,clueweb12-0000tw-00-00017,ORG,Health Care Technology Home
432,clueweb12-0000tw-00-00017,ORG,Palliative care Private Health Care United
